"gene_names","gene_ids"
"uqcc2","ENSPFOG00000018160"
"tspo(1of2)","ENSPFOG00000018170"
"tspo(2of2)","ENSPFOG00000018173"
"frs3(1of2)","ENSPFOG00000018176"
"frs3(2of2)","ENSPFOG00000018182"
"ensembl","ENSPFOG00000023839"
"slc6a11a(1of2)","ENSPFOG00000018192"
"ppil1","ENSPFOG00000018208"
"slc6a11a(2of2)","ENSPFOG00000021689"
"ensembl","ENSPFOG00000023376"
"eno1b","ENSPFOG00000018220"
"rereb","ENSPFOG00000018253"
"si:ch211-157b11.14","ENSPFOG00000018295"
"C1orf159","ENSPFOG00000018296"
"kbtbd12","ENSPFOG00000018304"
"slc26a6l","ENSPFOG00000018320"
"p4htm","ENSPFOG00000018344"
"MYH13","ENSPFOG00000018365"
"MYH2(4of4)","ENSPFOG00000018505"
"cacna2d2b","ENSPFOG00000018559"
"acy1","ENSPFOG00000018604"
"abhd14a","ENSPFOG00000024356"
"HYAL2(2of5)","ENSPFOG00000018620"
"HYAL2(3of5)","ENSPFOG00000018627"
"tusc2b","ENSPFOG00000018632"
"rassf1","ENSPFOG00000018636"
"cyb561d2","ENSPFOG00000018638"
"rad54l2","ENSPFOG00000018644"
"bap1","ENSPFOG00000018667"
"bsnb","ENSPFOG00000018682"
"erc2","ENSPFOG00000018697"
"CRELD1(2of2)","ENSPFOG00000018709"
"IL17RC(2of2)","ENSPFOG00000018711"
"itih3b","ENSPFOG00000018719"
"ensembl","ENSPFOG00000020368"
"WNK2(2of2)","ENSPFOG00000018745"
"NINJ1(2of2)","ENSPFOG00000018766"
"U6atac","ENSPFOG00000021433"
"CARD19(2of2)","ENSPFOG00000018769"
"bicd2","ENSPFOG00000018772"
"tkta","ENSPFOG00000018786"
"cacna1da","ENSPFOG00000018820"
"parapinopsinb","ENSPFOG00000018899"
"cacna2d3","ENSPFOG00000018933"
"h1m","ENSPFOG00000018991"
"tmcc1b","ENSPFOG00000018997"
"zgc:175135","ENSPFOG00000023392"
"qrich1","ENSPFOG00000019017"
"rpusd4","ENSPFOG00000019030"
"ensembl","ENSPFOG00000022788"
"twf2b","ENSPFOG00000019041"
"cishb","ENSPFOG00000019061"
"rhoab(2of2)","ENSPFOG00000019065"
"TMEM43","ENSPFOG00000019073"
"zgc:112334(2of2)","ENSPFOG00000019087"
"GRXCR2(1of2)","ENSPFOG00000002273"
